t,ra,dec,xi,eta,x,y,flag,q,col,row,flat,scale,response
772224536.05,242.369318145026,53.6749406044047,6559.236,-15093.6,9542.248,-21253.17,0,11.0,509.3206,148.44003,0.8410598,1.0296782144150691,0.8660209571606088
772224547.325,242.365531582615,53.6755365324886,6462.868,-15094.29,9406.267,-21253.17,0,14.0,507.71448,148.42851,0.8138392,1.0296782084255955,0.8379924864770121
772224560.58,242.367292375203,53.6749032780814,6297.044,-15145.01,9206.206,-21365.25,0,15.0,504.9507,147.58318,0.84124434,1.029678201384312,0.866210958877171
772224560.945,242.37065407386,53.6747810644646,6283.643,-15215.1,9147.226,-21421.29,0,14.0,504.72736,146.415,0.81419075,1.029678201190418,0.8383544621016822
772224568.09,242.369847737402,53.6757477454509,6145.276,-15157.6,8972.041,-21323.22,0,11.0,502.4213,147.37332,0.8439061,1.0296781973948714,0.868951716518674
772224593.145,242.370353585685,53.6748573138545,6058.752,-14912.65,8841.246,-21000.99,0,10.0,500.9792,151.45583,0.822205,1.0296781840852272,0.8466065586320682
772224593.64,242.366877147208,53.6755104194996,6049.075,-14829.11,8838.608,-20888.91,0,13.0,500.81793,152.84818,0.8358759,1.0296781838222748,0.8606832078576746
772224627.595,242.364706247841,53.6744354135854,6480.338,-14693.31,9432.637,-20692.77,0,18.0,508.0056,155.11151,0.82049716,1.0296781657847998,0.8448480057871851
772224635.175,242.365461329296,53.675650412904,6522.066,-14766.94,9530.47,-20762.82,0,15.0,508.70108,153.88431,0.8329604,1.029678161758175,0.8576811610923522
772224644.275,242.365625354934,53.6751421473156,6585.681,-14875.9,9628.127,-21000.99,0,11.0,509.76132,152.06833,0.864781,1.0296781569241005,0.8904461289498704
772224644.955,242.366281330646,53.6758837082189,6557.74,-14895.65,9578.551,-20958.96,0,10.0,509.29565,151.73917,0.852279,1.029678156562873,0.8775730772527462
772224663.87,242.366578271599,53.6720267546611,6597.395,-15135.27,9656.079,-21351.24,0,12.0,509.9566,147.74551,0.8479049,1.029678146514904,0.873069167041625
772224672.795,242.368226504867,53.6741438884432,6400.084,-15203.21,9338.672,-21393.27,0,13.0,506.6681,146.61317,0.845583,1.0296781417737928,0.8706783544385447
772224677.75,242.371789357499,53.6719710540985,6385.601,-15293.45,9337.529,-21589.41,0,7.0,506.42667,145.10915,0.8371719,1.029678139141613,0.8620176166888213
772224683.12,242.36716727331,53.6734631102662,6253.448,-15170.87,9131.843,-21351.24,0,13.0,504.22412,147.15216,0.84124434,1.0296781362889782,0.8662109041160899
772224698.015,242.366607091253,53.6708868472148,6169.357,-15045.56,8980.216,-21183.12,0,14.0,502.8226,149.24069,0.8465973,1.0296781283765024,0.8717227376454805
772224721.74,242.368532877485,53.6731552543823,6137.062,-14768.5,8970.459,-20804.85,0,15.0,502.28433,153.85832,0.8192275,1.0296781157733825,0.8435406457350672
772224725.4,242.369505124541,53.6714650488153,6235.038,-14771.35,9107.495,-20776.83,0,13.0,503.9173,153.81084,0.8258803,1.0296781138291289,0.8503908583062424
772224725.59,242.368519130154,53.6725483903153,6201.956,-14742.86,9066.621,-20804.85,0,15.0,503.36594,154.28564,0.8415594,1.0296781137281976,0.8665353059770555
772224725.625,242.368585987261,53.6718985474581,6225.158,-14747.85,9102.309,-20776.83,0,15.0,503.75262,154.20251,0.8415594,1.029678113709605,0.8665353059614087
772224731.13,242.367962418973,53.6710305145067,6328.683,-14707.15,9250.244,-20692.77,0,15.0,505.47806,154.88083,0.82864016,1.0296781107852564,0.8532326375017822
772224732.145,242.365050527879,53.6723229921537,6307.128,-14635.47,9163.751,-20622.72,0,6.0,505.1188,156.0755,0.84019655,1.0296781102460715,0.8651319957285019
772224741.125,242.364648448613,53.6735324659043,6389.855,-14624.36,9319.422,-20636.73,0,10.0,506.49756,156.26065,0.8241675,1.0296781054757445,0.8486272197035557
772224749.59,242.36845994234,53.6727764702631,6518.482,-14764.97,9490.035,-20776.83,0,15.0,508.64133,153.91718,0.8329604,1.0296781009789941,0.8576811104656997
772224756.91,242.367452201051,53.6713945610493,6652.923,-14832.14,9678.757,-20888.91,0,12.0,510.88205,152.79767,0.85191697,1.0296780970904875,0.8772002433362266
772224760.92,242.367334265111,53.6723280195315,6650.14,-14882.13,9724.377,-20958.96,0,9.0,510.83563,151.96452,0.8318737,1.0296780949603082,0.8565621420303532
772224765.775,242.364577181486,53.6729118762312,6659.876,-14885.18,9737.826,-20958.96,0,7.0,510.99796,151.9137,0.8318737,1.0296780923812507,0.8565621398849032
